Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 100	Peptides 100 (2)	Peptides 250-1	Peptides 250-2	Razor + unique peptides 100	Razor + unique peptides 100 (2)	Razor + unique peptides 250-1	Razor + unique peptides 250-2	Unique peptides 100	Unique peptides 100 (2)	Unique peptides 250-1	Unique peptides 250-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 100	Identification type 100 (2)	Identification type 250-1	Identification type 250-2	Sequence coverage 100 [%]	Sequence coverage 100 (2) [%]	Sequence coverage 250-1 [%]	Sequence coverage 250-2 [%]	Intensity	Intensity 100	Intensity 100 (2)	Intensity 250-1	Intensity 250-2	LFQ intensity 100	LFQ intensity 100 (2)	LFQ intensity 250-1	LFQ intensity 250-2	MS/MS Count 100	MS/MS Count 100 (2)	MS/MS Count 250-1	MS/MS Count 250-2	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions
tr|A0A178WEA6|A0A178WEA6_ARATH;sp|A0MFS9|CACLC_ARATH	tr|A0A178WEA6|A0A178WEA6_ARATH;sp|A0MFS9|CACLC_ARATH	1;1	1;1	1;1	>tr|A0A178WEA6|A0A178WEA6_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At1g67210 PE=4 SV=1;>sp|A0MFS9|CACLC_ARATH Anoctamin-like protein At1g73020 OS=Arabidopsis thaliana GN=At1g73020 PE=1 SV=1	2	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	3.5	3.5	3.5	76.804	665	665;665	0	72.065	By MS/MS	By MS/MS	By matching	By MS/MS	3.5	3.5	0	3.5	321500000	127380000	179460000	0	14661000	207020000	0	0	0	1	0	0	1	2				30	4348	True	5357	14315;14316;14317;14318	13092;13093;13094	13093		21		645
tr|A0A178UYE3|A0A178UYE3_ARATH;sp|A2RVK7|RP41L_ARATH	tr|A0A178UYE3|A0A178UYE3_ARATH;sp|A2RVK7|RP41L_ARATH	1;1	1;1	1;1	>tr|A0A178UYE3|A0A178UYE3_ARATH RRP41L OS=Arabidopsis thaliana GN=AXX17_At4g31620 PE=4 SV=1;>sp|A2RVK7|RP41L_ARATH Exosome complex component RRP41-like OS=Arabidopsis thaliana GN=RRP41L PE=2 SV=1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.5	5.5	5.5	27.448	256	256;256	0	8.0798	By matching	By MS/MS	By MS/MS	By MS/MS	5.5	5.5	5.5	5.5	169970000	52040000	66154000	30107000	21673000	0	0	0	82336000	0	1	1	1	3				31	20	True	23	56;57;58;59	48;49;50	50		22;6775		9;13
tr|Q9M2M4|Q9M2M4_ARATH;tr|A0A178VIZ5|A0A178VIZ5_ARATH;sp|A2RVQ5|AGL16_ARATH	tr|Q9M2M4|Q9M2M4_ARATH;tr|A0A178VIZ5|A0A178VIZ5_ARATH;sp|A2RVQ5|AGL16_ARATH	1;1;1	1;1;1	1;1;1	>tr|Q9M2M4|Q9M2M4_ARATH Agamous-like MADS-box protein AGL16 OS=Arabidopsis thaliana GN=F28O9.80 PE=4 SV=1;>tr|A0A178VIZ5|A0A178VIZ5_ARATH AGL16 OS=Arabidopsis thaliana GN=AXX17_At3g51810 PE=4 SV=1;>sp|A2RVQ5|AGL16_ARATH Agamous-like MADS-box protein AGL16 	3	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	9.6	9.6	9.6	27.233	239	239;240;240	0	15.672	By MS/MS	By matching	By matching	By matching	9.6	0	0	0	20781000	20781000	0	0	0	33772000	0	0	0	1	0	0	0	1				32	805	True	982	2482	2265	2265		23		208
tr|A0A178VIL8|A0A178VIL8_ARATH;sp|A2RVS6|SR34A_ARATH	tr|A0A178VIL8|A0A178VIL8_ARATH;sp|A2RVS6|SR34A_ARATH	3;3	3;3	3;3	>tr|A0A178VIL8|A0A178VIL8_ARATH SRp34a OS=Arabidopsis thaliana GN=AXX17_At3g43580 PE=4 SV=1;>sp|A2RVS6|SR34A_ARATH Serine/arginine-rich splicing factor SR34A OS=Arabidopsis thaliana GN=SR34A PE=2 SV=1	2	3	3	3	1	1	2	0	1	1	2	0	1	1	2	0	13.8	13.8	13.8	33.356	298	298;300	0	28.262	By MS/MS	By MS/MS	By MS/MS	By matching	7	4	6.7	0	9870200	9870200	0	0	0	16041000	0	0	0	1	2	2	0	5				33	1475;2271;4354	True;True;True	1803;2787;5364	4680;7308;14337;14338;14339	4266;6733;13110;13111;13112	4266;6733;13112		24;25;26;27;28;29;30;31		111;243;245;253;255;257;259;261
tr|A0A178W7R3|A0A178W7R3_ARATH;sp|A4FVR1|GIP1L_ARATH	tr|A0A178W7R3|A0A178W7R3_ARATH;sp|A4FVR1|GIP1L_ARATH	2;2	2;2	2;2	>tr|A0A178W7R3|A0A178W7R3_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At1g50450 PE=4 SV=1;>sp|A4FVR1|GIP1L_ARATH GBF-interacting protein 1-like OS=Arabidopsis thaliana GN=GIP1L PE=1 SV=1	2	2	2	2	2	0	0	1	2	0	0	1	2	0	0	1	5	5	5	61.892	575	575;575	0	46.307	By MS/MS	By matching	By matching	By matching	5	0	0	2.3	50141000	41689000	0	0	8451400	67752000	0	0	0	2	0	0	0	2				34	1103;3229	True;True	1344;3976	3425;10562;10563	3116;9670	3116;9670		32;33		95;255
tr|A0A178W7V3|A0A178W7V3_ARATH;sp|A4GSN8|NUA_ARATH	tr|A0A178W7V3|A0A178W7V3_ARATH;sp|A4GSN8|NUA_ARATH	2;2	2;2	2;2	>tr|A0A178W7V3|A0A178W7V3_ARATH NUA OS=Arabidopsis thaliana GN=AXX17_At1g74060 PE=4 SV=1;>sp|A4GSN8|NUA_ARATH Nuclear-pore anchor OS=Arabidopsis thaliana GN=NUA PE=1 SV=1	2	2	2	2	2	1	1	1	2	1	1	1	2	1	1	1	1.8	1.8	1.8	236.99	2093	2093;2093	0	41.848	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.8	1	1	1	784760000	46839000	413030000	304510000	20384000	0	333340000	489070000	56009000	2	3	2	2	9				35	289;4648	True;True	352;5734;5735	883;15381;15382;15383;15384;15385;15386;15387;15388;15389;15390;15391;15392	804;14060;14061;14062;14063;14064;14065;14066;14067;14068	804;14065		34;35;6776;6777		1924;1926;1928;2022
tr|F4I9Y9|F4I9Y9_ARATH;tr|F4I9Y7|F4I9Y7_ARATH;tr|A0A178W8K9|A0A178W8K9_ARATH;sp|A8MS85|SPT61_ARATH	tr|F4I9Y9|F4I9Y9_ARATH;tr|F4I9Y7|F4I9Y7_ARATH;tr|A0A178W8K9|A0A178W8K9_ARATH;sp|A8MS85|SPT61_ARATH	2;2;2;2	2;2;2;2	2;2;2;2	>tr|F4I9Y9|F4I9Y9_ARATH Transcription elongation factor SPT6-like protein OS=Arabidopsis thaliana GN=GTB1 PE=4 SV=1;>tr|F4I9Y7|F4I9Y7_ARATH Transcription elongation factor SPT6-like protein OS=Arabidopsis thaliana GN=GTB1 PE=4 SV=1;>tr|A0A178W8K9|A0A178W8K	4	2	2	2	0	2	1	1	0	2	1	1	0	2	1	1	3	3	3	166.39	1454	1454;1642;1647;1647	0	125.61	By matching	By MS/MS	By MS/MS	By MS/MS	0	3	1.2	1.2	16231000	0	16231000	0	0	0	16231000	0	0	0	3	1	1	5				36	639;1067	True;True	772;1302	1942;3331;3332;3333;3334	1784;3034;3035;3036;3037	1784;3037	5	36;37;38	1000	97;98;991
sp|A9LLI7|RP6L2_ARATH;tr|A0A178UFB7|A0A178UFB7_ARATH	sp|A9LLI7|RP6L2_ARATH;tr|A0A178UFB7|A0A178UFB7_ARATH	1;1	1;1	1;1	>sp|A9LLI7|RP6L2_ARATH Protein RRP6-like 2 OS=Arabidopsis thaliana GN=RRP6L2 PE=2 SV=1;>tr|A0A178UFB7|A0A178UFB7_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g33230 PE=4 SV=1	2	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	2.8	2.8	2.8	97.888	870	870;871	0	11.626	By matching	By MS/MS	By matching	By matching	0	2.8	0	0	24775000	0	24775000	0	0	0	24775000	0	0	0	1	0	0	1				37	2269	True	2784	7304	6730	6730		39		595
tr|A0A178WJ71|A0A178WJ71_ARATH;sp|A9LNK9|CPSF_ARATH	tr|A0A178WJ71|A0A178WJ71_ARATH;sp|A9LNK9|CPSF_ARATH	1;1	1;1	1;1	>tr|A0A178WJ71|A0A178WJ71_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At1g30910 PE=4 SV=1;>sp|A9LNK9|CPSF_ARATH 30-kDa cleavage and polyadenylation specificity factor 30 OS=Arabidopsis thaliana GN=CPSF30 PE=1 SV=1	2	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	5.8	5.8	5.8	47.476	429	429;631	0	28.406	By MS/MS	By MS/MS	By matching	By MS/MS	5.8	5.8	0	5.8	51933000	19779000	25727000	0	6426100	0	0	0	24413000	1	1	0	1	3				38	1730	True	2118	5472;5473;5474	4996;4997;4998	4997	6	40	394	382
tr|A0A178WBZ6|A0A178WBZ6_ARATH;sp|B0F9L7|GOGC2_ARATH	tr|A0A178WBZ6|A0A178WBZ6_ARATH;sp|B0F9L7|GOGC2_ARATH	1;1	1;1	1;1	>tr|A0A178WBZ6|A0A178WBZ6_ARATH GC2 OS=Arabidopsis thaliana GN=AXX17_At1g19070 PE=4 SV=1;>sp|B0F9L7|GOGC2_ARATH Golgin candidate 2 OS=Arabidopsis thaliana GN=GC2 PE=1 SV=1	2	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1.9	1.9	1.9	74.849	668	668;668	0	7.9486	By MS/MS	By matching	By matching	By matching	1.9	0	0	0	9341900	9341900	0	0	0	15182000	0	0	0	1	0	0	0	1				39	4152	True	5126	13697	12531	12531		41		43
tr|F4I3N9|F4I3N9_ARATH;tr|A0A178WJ72|A0A178WJ72_ARATH;sp|B3H6Z8|KN14J_ARATH	tr|F4I3N9|F4I3N9_ARATH;tr|A0A178WJ72|A0A178WJ72_ARATH;sp|B3H6Z8|KN14J_ARATH	2;2;2	2;2;2	2;2;2	>tr|F4I3N9|F4I3N9_ARATH Microtubule motor protein KinG OS=Arabidopsis thaliana GN=At1g63640 PE=1 SV=1;>tr|A0A178WJ72|A0A178WJ72_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At1g57080 PE=3 SV=1;>sp|B3H6Z8|KN14J_ARATH Kinesin-like protein K	3	2	2	2	1	0	1	1	1	0	1	1	1	0	1	1	2	2	2	119.16	1065	1065;1071;1071	0	17.462	By MS/MS	By matching	By MS/MS	By matching	0.9	0	1	0.9	214600000	60233000	0	149540000	4830000	0	0	0	18349000	2	0	1	0	3				40	2921;3792	True;True	3586;4669	9592;9593;12388	8834;8835;11314	8834;11314		42;43;44		861;865;1041
tr|A0A178V212|A0A178V212_ARATH;sp|B3LF48|EHD2_ARATH	tr|A0A178V212|A0A178V212_ARATH;sp|B3LF48|EHD2_ARATH	1;1	1;1	1;1	>tr|A0A178V212|A0A178V212_ARATH EHD2 OS=Arabidopsis thaliana GN=AXX17_At4g06930 PE=3 SV=1;>sp|B3LF48|EHD2_ARATH EH domain-containing protein 2 OS=Arabidopsis thaliana GN=EHD2 PE=1 SV=1	2	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	3.5	3.5	3.5	61.379	546	546;546	0	17.862	By MS/MS	By MS/MS	By matching	By matching	3.5	3.5	0	0	23981000	5883900	18097000	0	0	0	18097000	0	0	1	1	0	0	2				41	4395	True	5416	14478;14479	13238;13239	13238		45		149
tr|A0A178V202|A0A178V202_ARATH;sp|B3LFA3|NIPA2_ARATH	tr|A0A178V202|A0A178V202_ARATH;sp|B3LFA3|NIPA2_ARATH	1;1	1;1	1;1	>tr|A0A178V202|A0A178V202_ARATH Probable magnesium transporter OS=Arabidopsis thaliana GN=AXX17_At4g15750 PE=3 SV=1;>sp|B3LFA3|NIPA2_ARATH Probable magnesium transporter NIPA2 OS=Arabidopsis thaliana GN=At4g13800 PE=2 SV=1	2	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	3.6	3.6	3.6	36.623	336	336;336	0.0021796	6.5787	By MS/MS	By matching	By matching	By matching	3.6	0	0	0	8769000	8769000	0	0	0	14251000	0	0	0	1	0	0	0	1				42	798	True	974	2469	2255	2255		46		324
tr|A0A178WPK0|A0A178WPK0_ARATH;tr|F4HPG6|F4HPG6_ARATH;tr|A0A178WRQ2|A0A178WRQ2_ARATH;sp|B5X570|NAC14_ARATH	tr|A0A178WPK0|A0A178WPK0_ARATH;tr|F4HPG6|F4HPG6_ARATH;tr|A0A178WRQ2|A0A178WRQ2_ARATH;sp|B5X570|NAC14_ARATH	3;3;3;3	3;3;3;3	3;3;3;3	>tr|A0A178WPK0|A0A178WPK0_ARATH NAC014 OS=Arabidopsis thaliana GN=AXX17_At1g33780 PE=4 SV=1;>tr|F4HPG6|F4HPG6_ARATH Protein NAC 014 OS=Arabidopsis thaliana GN=NAC014 PE=4 SV=1;>tr|A0A178WRQ2|A0A178WRQ2_ARATH NAC014 OS=Arabidopsis thaliana GN=AXX17_At1g3378	4	3	3	3	2	2	1	2	2	2	1	2	2	2	1	2	6	6	6	72.258	637	637;648;652;652	0	33.539	By MS/MS	By MS/MS	By matching	By matching	3.8	3.9	1.7	3.8	38727000	12582000	19807000	2281900	4056900	22012000	0	0	13848000	2	1	0	0	3				43	871;2871;3281	True;True;True	1068;3524;4040	2685;2686;9432;10748;10749;10750;10751	2443;8692;9846	2443;8692;9846		47;48;6778;6779		413;461;501;504
tr|A0A178WKX8|A0A178WKX8_ARATH;sp|B6EUA9|PR40A_ARATH;tr|A0A178WMS5|A0A178WMS5_ARATH	tr|A0A178WKX8|A0A178WKX8_ARATH;sp|B6EUA9|PR40A_ARATH;tr|A0A178WMS5|A0A178WMS5_ARATH	8;8;5	8;8;5	8;8;5	>tr|A0A178WKX8|A0A178WKX8_ARATH PRP40A OS=Arabidopsis thaliana GN=AXX17_At1g40560 PE=4 SV=1;>sp|B6EUA9|PR40A_ARATH Pre-mRNA-processing protein 40A OS=Arabidopsis thaliana GN=PRP40A PE=1 SV=1;>tr|A0A178WMS5|A0A178WMS5_ARATH PRP40A OS=Arabidopsis thaliana GN	3	8	8	8	3	3	7	2	3	3	7	2	3	3	7	2	10.1	10.1	10.1	109.29	958	958;958;926	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.5	6.3	7.8	4.2	1821200000	103580000	1162100000	522470000	33087000	240630000	868640000	828260000	193430000	4	9	15	2	30				44	255;256;1350;1771;2337;2338;3764;4327	True;True;True;True;True;True;True;True	314;315;316;1649;2165;2867;2868;4637;4638;5330	805;806;807;808;809;810;811;812;4272;4273;4274;4275;4276;4277;5591;5592;5593;7537;7538;7539;12319;12320;12321;12322;12323;14244	730;731;732;733;734;735;3868;3869;3870;3871;3872;3873;3874;5106;5107;5108;5109;5110;6935;6936;6937;6938;6939;6940;11242;11243;11244;11245;11246;13037	730;734;3869;5108;6935;6938;11245;13037	7;8	49;50;51;52;53;54	399;864	362;387;789;858;926;929
tr|A0A178UNB9|A0A178UNB9_ARATH;sp|B7ZWR6|OEP61_ARATH	tr|A0A178UNB9|A0A178UNB9_ARATH;sp|B7ZWR6|OEP61_ARATH	2;2	2;2	2;2	>tr|A0A178UNB9|A0A178UNB9_ARATH TPR7 OS=Arabidopsis thaliana GN=AXX17_At5g21330 PE=4 SV=1;>sp|B7ZWR6|OEP61_ARATH Outer envelope protein 61 OS=Arabidopsis thaliana GN=OEP61 PE=1 SV=1	2	2	2	2	2	1	1	0	2	1	1	0	2	1	1	0	9.2	9.2	9.2	60.757	554	554;554	0	79.779	By MS/MS	By MS/MS	By matching	By matching	9.2	3.2	3.2	0	39856000	20068000	17283000	2505200	0	0	0	4749600	0	2	1	0	0	3				45	1094;3135	True;True	1332;3867	3400;3401;3402;10320	3098;3099;9451	3099;9451	9;10	55;56	335;365	340;423
tr|A0A178W8C8|A0A178W8C8_ARATH;sp|B8XCH5|QKY_ARATH	tr|A0A178W8C8|A0A178W8C8_ARATH;sp|B8XCH5|QKY_ARATH	2;2	2;2	2;2	>tr|A0A178W8C8|A0A178W8C8_ARATH QKY OS=Arabidopsis thaliana GN=AXX17_At1g69100 PE=4 SV=1;>sp|B8XCH5|QKY_ARATH Protein QUIRKY OS=Arabidopsis thaliana GN=QKY PE=2 SV=1	2	2	2	2	2	1	0	1	2	1	0	1	2	1	0	1	3.4	3.4	3.4	121.41	1081	1081;1081	0	30.893	By MS/MS	By MS/MS	By matching	By MS/MS	3.4	2.6	0	0.8	250690000	39699000	207040000	0	3947100	64518000	0	0	0	2	1	0	0	3				46	3190;5683	True;True	3930;7054	10453;10454;19099;19100	9573;9574;17477;17478	9573;17477		57;58		218;262
tr|A0A178UCQ7|A0A178UCQ7_ARATH;sp|B9DFS6|SNX2B_ARATH	tr|A0A178UCQ7|A0A178UCQ7_ARATH;sp|B9DFS6|SNX2B_ARATH	2;2	2;2	2;2	>tr|A0A178UCQ7|A0A178UCQ7_ARATH SNX2b OS=Arabidopsis thaliana GN=AXX17_At5g06770 PE=4 SV=1;>sp|B9DFS6|SNX2B_ARATH Sorting nexin 2B OS=Arabidopsis thaliana GN=SNX2B PE=1 SV=1	2	2	2	2	2	2	1	1	2	2	1	1	2	2	1	1	6.8	6.8	6.8	64.268	572	572;572	0	43.214	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.8	6.8	1.9	1.9	277730000	124440000	109890000	26081000	17312000	177590000	134550000	0	0	2	1	1	1	5				47	1897;4708	True;True	2318;5806	5989;5990;15602;15603;15604;15605	5495;5496;14281;14282;14283;14284	5496;14282		59;60;61;62;63		75;78;80;82;135
sp|B9DFV2|PQT3L_ARATH;tr|Q0WVP4|Q0WVP4_ARATH;tr|A0A178UBX9|A0A178UBX9_ARATH;tr|A0A178UD59|A0A178UD59_ARATH	sp|B9DFV2|PQT3L_ARATH	11;4;4;4	11;4;4;4	11;4;4;4	>sp|B9DFV2|PQT3L_ARATH E3 ubiquitin ligase PQT3-like OS=Arabidopsis thaliana GN=At5g47430 PE=1 SV=1	4	11	11	11	6	7	8	5	6	7	8	5	6	7	8	5	12.8	12.8	12.8	99.082	892	892;708;720;733	0	188.05	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.7	10	11.2	7.8	2636100000	563180000	693610000	1073500000	305830000	493190000	615580000	1950700000	1126700000	10	8	16	11	45				48	230;940;941;942;2077;2161;2306;2444;4683;5099;5973	True;True;True;True;True;True;True;True;True;True;True	283;284;1147;1148;1149;2537;2538;2647;2832;3004;5775;6309;7399	734;735;736;737;738;739;740;741;742;743;744;2881;2882;2883;2884;2885;2886;2887;2888;2889;2890;2891;2892;6629;6630;6631;6632;6633;6634;6635;6636;6637;6638;6639;6640;6641;6642;6643;6939;7472;7473;7992;7993;7994;7995;7996;15489;15490;16934;16935;20219;20220;20221	660;661;662;663;664;665;666;667;2625;2626;2627;2628;2629;2630;2631;2632;2633;2634;6140;6141;6142;6143;6144;6145;6146;6147;6148;6149;6150;6151;6152;6153;6154;6396;6397;6876;7369;7370;7371;7372;7373;7374;14168;14169;15483;18452;18453	667;2625;2633;2634;6146;6397;6876;7373;14169;15483;18453		64;65;66;67;68;69;70;71;72;73;74;75;76;77;6780;6781;6782		285;363;364;369;388;391;392;395;404;800;801;802;849;850;866;872;875
tr|A0A178UCJ4|A0A178UCJ4_ARATH;tr|A0A178UC31|A0A178UC31_ARATH;sp|B9DGD6|ACS_ARATH	tr|A0A178UCJ4|A0A178UCJ4_ARATH;tr|A0A178UC31|A0A178UC31_ARATH;sp|B9DGD6|ACS_ARATH	1;1;1	1;1;1	1;1;1	>tr|A0A178UCJ4|A0A178UCJ4_ARATH Acetyl-coenzyme A synthetase OS=Arabidopsis thaliana GN=AXX17_At5g33780 PE=3 SV=1;>tr|A0A178UC31|A0A178UC31_ARATH Acetyl-coenzyme A synthetase OS=Arabidopsis thaliana GN=AXX17_At5g33780 PE=3 SV=1;>sp|B9DGD6|ACS_ARATH Acetyl-	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	76.716	693	693;743;743	0	18.153	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2	2	2	2	1299300000	638760000	454120000	103770000	102630000	0	0	0	195450000	3	0	2	2	7				49	1944	True	2382	6178;6179;6180;6181;6182;6183;6184;6185	5679;5680;5681;5682;5683;5684;5685;5686	5682	11	78	12	11
tr|A0A178WKZ5|A0A178WKZ5_ARATH;tr|A0A178WL09|A0A178WL09_ARATH;sp|B9DGG8|DRM1_ARATH	tr|A0A178WKZ5|A0A178WKZ5_ARATH;tr|A0A178WL09|A0A178WL09_ARATH;sp|B9DGG8|DRM1_ARATH	1;1;1	1;1;1	1;1;1	>tr|A0A178WKZ5|A0A178WKZ5_ARATH DYL1 OS=Arabidopsis thaliana GN=AXX17_At1g28770 PE=4 SV=1;>tr|A0A178WL09|A0A178WL09_ARATH DYL1 OS=Arabidopsis thaliana GN=AXX17_At1g28770 PE=4 SV=1;>sp|B9DGG8|DRM1_ARATH Dormancy-associated protein 1 OS=Arabidopsis thaliana 	3	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	18.9	18.9	18.9	13.406	122	122;132;132	0	8.9588	By MS/MS	By matching	By matching	By matching	18.9	0	0	0	3566300	3566300	0	0	0	5795800	0	0	0	1	0	0	0	1				50	4546	True	5606	15030	13743	13743	12	6783;6784	53	52;66
tr|B9DFF8|B9DFF8_ARATH;tr|A0A178W5L2|A0A178W5L2_ARATH;tr|A0A178UXP7|A0A178UXP7_ARATH;sp|Q0WV25|TBA4_ARATH;sp|P29511|TBA6_ARATH;sp|B9DGT7|TBA2_ARATH;tr|Q944I2|Q944I2_ARATH;tr|Q0WLQ5|Q0WLQ5_ARATH;tr|A0A178WLQ0|A0A178WLQ0_ARATH;sp|P11139|TBA1_ARATH	tr|B9DFF8|B9DFF8_ARATH;tr|A0A178W5L2|A0A178W5L2_ARATH;tr|A0A178UXP7|A0A178UXP7_ARATH;sp|Q0WV25|TBA4_ARATH;sp|P29511|TBA6_ARATH;sp|B9DGT7|TBA2_ARATH;tr|Q944I2|Q944I2_ARATH	6;6;6;6;6;6;5;2;1;1	6;6;6;6;6;6;5;2;1;1	3;3;3;3;3;3;2;1;1;1	>tr|B9DFF8|B9DFF8_ARATH Tubulin alpha chain OS=Arabidopsis thaliana GN=TUA6 PE=2 SV=1;>tr|A0A178W5L2|A0A178W5L2_ARATH Tubulin alpha chain OS=Arabidopsis thaliana GN=AXX17_At1g04150 PE=3 SV=1;>tr|A0A178UXP7|A0A178UXP7_ARATH Tubulin alpha chain OS=Arabidopsi	10	6	6	3	2	3	5	4	2	3	5	4	0	1	2	1	17.3	17.3	9.4	47.235	427	427;450;450;450;450;450;450;202;450;450	0	60.257	By matching	By MS/MS	By MS/MS	By MS/MS	5.9	7.5	12.6	12.6	112380000	8955700	28173000	49439000	25815000	20186000	13964000	85249000	115130000	0	1	5	4	10				51	474;820;969;1494;5337;5566	True;True;True;True;True;True	575;998;1180;1828;6613;6905	1493;1494;1495;2505;2506;2507;2508;2988;2989;2990;4758;17833;17834;18657	1383;1384;2286;2287;2720;2721;4340;16310;16311;17066	1384;2286;2720;4340;16311;17066		6785		349
